"lang_iso_code","en"
"smscurrency","EUR"
"lang_alphabet","أ ;ب; ت ;ث; ج ;ح ;خ; د; ذ; ر; ز; س; ش ;ص ;ض; ط; ظ ;ع ;غ ;ف ;ق; ك; ل ;م ;ن; هـ ;و; ي"
"All years","جميع السنوات"
"About","حول التطبيق"
"Copyright © TOPefekt s.r.o., All rights reserved","Copyright © TOPefekt s.r.o., All rights reserved"
"Developer:","المطور:"
"TOPefekt s.r.o.","TOPefekt s.r.o."
"Address:","العنوان:"
"B. Nemcove 767/13","B. Nemcove 767/13"
"78701 Sumperk","78701 Sumperk"
"Czech Republic","الجمهورية التشيكية"
"VAT: CZ29444268","VAT: CZ29444268"
"Office Telephone:","الهاتف"
"+420 581 110 998","+420 581 110 998"                                
"E-mail:","البريد الإلكتروني:"
"sales@topefekt.com","sales@topefekt.com"
"support@topefekt.com","support@topefekt.com"
"Web:","Web:"
"www.presta-sms.com","www.presta-sms.com"
"www.presta-sms.com/","www.presta-sms.com/"
"Admin SMS","إرساليات المشرف"
"Select events during which shall be shop administrators notified via SMS and customize text of messages.","تحوير نصوص الرسائل والأوقات التي يتم فيها إشعار المشرفين."
"Unicode SMS","رسائل اليونيكود"
"unicode","يونيكود"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","يتم تفعيل هذه الخاصية عند استعمال اللغة العربية أو الصينية أو اليونانية أو العبرية أو الكورية، إلخ. وكذلك عند استخدام الرموز في نص الرسالة (عموما نصوص اليونيكود تُمكِن من استعمال أحرف جميع اللغات بالإضافة الى جميع الرموز، عدد الأحرف الأقصى في نص الرسالة الواحدة يصبح 70 رمزا."
"Save","تفعيل"
"Sending notifications via SMS is ACTIVE","خاصية إرسال الإشعارات نشطة"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check at least one administrator.","خاصية إرسال الإشعارات غير نشطة حاليا، لتفعيلها يجب عليك اختيار مشرف واحد على الأقل"
"Update of order status","تحيين حالة الطلبية"
"Account","انشاء حساب"
"Product","المنتجات"
"Order status","حالة الطلبيات"
"Order","الطلبيات"
"Admin SMS - not active","إرساليات المشرف - غير مفعل"
"Please add at least one administrator!","يُرجى اضافة مشرف واحد على الأقل"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل."
"Invalid SMS text","نص الرسالة غير صالح"
"Text of SMS was saved.","تم تسجيل نص الرسالة"
"Unicode saved.","تم تفعيل خاصية اليونيكود"
"char","حرف"
"chars","أحرف"
"label","شريحة"
"SMS text","نص الرسالة"
"total sms:","مجموع الرسائل:"
"Enter SMS text","أدخل نص الرسال"
"Preview","معاينة"
"Administrators","المشرفون"
"Save","حفظ"
"Cancel","إلغاء"
"Restore unsaved changes to its original state.","اعادة التغييرات غير المسجلة إلى حالتها الأصلية"

"User profile - not active","حساب المشرف - غير نشط"
"User profile - active","حساب المشرف - نشط"
"New user account","حساب جديد"
"Not registered yet? Create account now!","غير مسجل؟ قم بإنشاء حسابك الآن"
"Email:","البريد الإلكتروني:"
"Company name:","إسم الشركة:"
"Street:","الشارع:"
"City:","المدينة::"
"ZIP:","الترقيم البريدي:"
"Country:","البلد:"
"Company ID:","مُعرف الشركة:"
"Company VAT:","رقم الحساب الضريبي للشركة"
"Referer ID:","المرجع المعرف"
"View licence terms:","الإطلاع على بنود الترخيص"
"I agree","موافق"
"I dont agree","غير موافق"
"Register","تسجيل"
"Required field","حقل مطلوب"
"Sign in","تسجيل الدخول"
"If You already have an account, please sign in.","إذا كان لديك حساب يمكنك تسجيل الدخول"
"Username:","إسم المستخدم:"
"Password:","كلمة السر:"
"Log in","الدخول"
"Edit user account","تحوير حساب المستخد"
"Save","حفظ"
"User account info","معلومات الحساب"
"SMS Credit:","مخزون الرسائل:"
"Add administrators","إضافة مشرفين"
"Name:","الإسم:"
"Mobile number:","رقم الهاتف المحمول:"
"Edit","تحوير"
"Add","إضافة"
"Other settings","إعدادات أخرى"
"Simulate SMS sending:","محاكاة الرسائل القصيرة:"
"Allows to test sending of SMS in modul and to view sent SMS in SMS history with a special status.","السماح باختبار الإرساليات والإطلاع على حالة الرسائل في أرشيف الإرساليات"
"Delete database:","حذف قاعدة البيانات"
"Allows to decide if current SMS settings and database of sent SMS shall be stored when uninstalling SMS module.","السماح بما اذا كان يجب تخزين الإعدادات و تسجيل قاعدة البيانات إذا ما تم حذف التطبيق"
"Delivery reports:","تقارير الإرسال"
"Allows to see delivery reports of SMS in SMS history Tab.","السماح بمشاهدة تقارير بعث الإرساليات في أرشيف الإرساليات"
"Low credit alert:","التنبيه حول مخزون الإرساليات المنخفض"
" Allows to receive email when your SMS credit is low."," السماح باستقبال بريد الكتروني في حالة تدني المخزون"
"Email for delivery reports:","البريد الإلكتروني لتقارير التسليم:"
"Allows to receive email with delivery report of SMS.","السماح بتلقي البريد الالكتروني مع تقرير تسليم الرسائل القصيرة."
"Admin was created.","تمت إضافة المشرف"
"You have to agree with licence terms.","يجب عليك القبول بشروط الإستعمال"
"Account was created.","تم إنشاء الحساب"
"you can add another account after ","يمكنك إضافة حساب آخر لاحقا "
"minutes","دقائق"
"can not connect to SMS server","لا يمكن الإتصال بسيرفر الرسائل"
"You were succesfully loged in.","تم تسجيل الدخول بنجاح"
"error","خطأ"
"Invalid e-mail for delivery report.","البريد الإكتروني غير صالح لتقارير التسليم"
"Invalid e-mail","البريد الإلكتروني غير صالح"
"Account was changed.","تم تغيير الحساب"
"Account was changed, but module URL for DR does not answer.","تم تغيير الحساب، لكن رابط التطبيق لا يجيب"
"you can change account after ","يمكنك تغيير اعدادات الحساب فيما بعد  "
" seconds"," ثوان"
"Invalid name","إسم غير صالح"
"Invalid number","رقم غير صالح"
"Admin was changed.","تم تغيير المشرف"
"Admin was deleted.","تم حذف المشرف"
"no changes were made","لا تغييرات"
"login error","خطأ في عملية الدخول"
"Are you sure to delete","هل أنت متأكد من عملية الحذف"
"DELETE administrator","حذف المشرف"
"EDIT administrator","إعدادات المشرف"
"in international format, no leading zeros or a “+” sign, e.g., 447971796595","في الشكل الدولي لا توجد أصفار ولا وجود لعلامة "+" مثلا: 44791796595"
"(when uninstall)","الغاء التنصيب)"
"(0 = no alert)","0 = لا تنبيه)"
"Fill in username and password.","أضف اسم المستخدم وكلمة السر"

"Customer SMSi - ","إرساليات الحريف - "
"Customer SMS - not active","إرساليات الحريف - غير نشطة"
" language version","  صيغة اللغة "
"Select events during which shall be customer notified via SMS and customize text of messages. You can also add a new language version of SMS messages for each country separately. In countries with undefined language version will be used default language version.","هنا يمكن تحديد المراحل التي يتم فيها إشعار الحريف بواسطة رسالة، كما يمكن تخصيص نص الرسالة أيضا، يمكنك أيضا إضافة لغة جديدة لكل بلد على حدا، بالنسبة للبلدان التي لم يتم تعيين أي لغة لها سوف يتم استعمال اللغة الأساسية فيها تلقائيا"
"Add SMS text version","إضافة صيغة نص الرسالة"
"Select country: ","إختر البلد: "
"Unicode SMS","رسائل اليونيكود"
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","يتم تفعيل هذه الخاصية عند استعمال اللغة العربية أو الصينية أو اليونانية أو العبرية أو الكورية، إلخ. وكذلك عند استخدام الرموز في نص الرسالة (عموما نصوص اليونيكود تُمكِن من استعمال أحرف جميع اللغات بالإضافة الى جميع الرموز، عدد الأحرف الأقصى في نص الرسالة الواحدة يصبح 70 رمزا)."
"Order status","حالة الطلبية"
"Sending notifications via SMS is ACTIVE","إرسال الإشعارات عبر الرسائل القصيرة نشط"
"Sending notifications via SMS is NOT ACTIVE. To activate SMS sending check „Active“ in desired status detail.","إرسال الإشعارات عبر الرسائل القصيرة غير نشط، لتنشيطه اظغط على \"تفعيل\" في القائمة المرغوبة"
" Update of order status "," تحيين حالة الطلبية  "
"Account","الحساب"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل"
"Invalid SMS text","نص الرسالة غير صالح"
"Text of SMS was saved.","تم حفظ نص الرسالة"
"SMS text version was deleted.","تم حذف صيغة نص الرسالة"
"Are you sure to delete","هل أنت متأكد من عملية الحذف؟"
"DELETE language version","حذف صيغة هذه اللغة"
"SMS text","نص الرسالة"
"unicode","يونيكود"
"SMS text version for ","صيغة الرسالة الخاصة ب  "
" was saved"," تم تسجيله"
"Preview","معاينة"
"Active","تفعيل"
"Save","حفظ"
"Cancel","إلغاء"
"total sms:","مجموع الرسائل:"
"EDIT language version","تحوير لغوي"
"default","الوضع المبدئيoú"
"Edit","تحوير"
"Add","إضافة"
"Order","طلبية"
